ม|ู|น|ช|า|ว:เ:ว|อ:ร:์|	m|u|n|s:h|o|w:e|r|
ม|ั|น|ท|ร:ี:เ|ซ|อ|ร:์|	m|o|n|t|r:e|s|o|r|
เ:ด:เ|ว|เ|ร|ล|	d:e|v|e|r:e|l:l|
เ:ม:ิ|ก|เ|ว|ิ|ร:์:ด|	m|c|q|u|a|d:e|
เ:ฮ|อ:ร:์|ล:ิ:่|ง|	h|e:r|l:i|n:g|
ซ:ี|เ:ม|น|ส:์|-|ม|า|ร:์|ต|ิ|น|	s:i:e|m|e:n|s|-|m|a|r|t|i|n|
เ:ด|ร|เ:อ:อ|ร:์|	d|r:e|y:e|r|
ซ|ู|เ:ม:ิ|น|	s|u|m:a|n|
บ|ร|ิ|ด|ี|้|	b|r|i|d|i|e|
บ|า|ร:์|ต|เ:ม:ิ|น|	b|a|r|t|m:a|n|
แ:ม:เ|ท|ี:ย|	m:a|t|h:e:a|
เ:ค|อ:ร:์|ฟ|ิ|ว|	c|u:r|f|e|w|
แ:ค|โ:ต:้|	c:a:t|t:o|
ฟ|อ|ส|	f|o|s:s|
ฮ:ี|ล:ี:่|	h:e:a|l:y|
แ:อ|น|ท|ร|า|ไ:ซ|ต|์|	a|n|t:h|r|a|c|i:t|e|
บ|ร|ิ|ว:เ:ว|อ:ร:์|เ:ต|ิ:้:น|	b|r|e|w:e|r|t|o:n|
ม|อ|ร:์|ต|ิ|เ:ม:อ|ร:์|	m|o|r|t|i|m:e|r|
น|อ:ฟ|	k:n|a:u:f|
ม:็:อ|ด|ล|ิ:่:น|	m:o|d|l|i:n|
ว|ิ|ก|ก|ิ|น|ส:์|	w|i|g|g|i|n|s|
เ:ร|ส|น|ิ|ก|	r|e:s|n|i|k|
ฮ|ิ|ป|โ|ป|แ:ค|ม|ป|ั|ส|	h|i|p|p|o|c|a:m|p|u|s|
ล|ั|ม:ป:์|ค|ิ:้:น|	l|u|m:p|k|i:n|
ช|็|อ|บ|	s:c:h|a|u|b|
ล|ิ|ก|น|ิ|น|	l|i|g|n|i|n|
ฮ|ิ|ก|ล:ี:่|ย:์|	h|i|g|l:e|y|
ค:ิ:ว|บ|า|	c:u|b|a|
ซ:ี:เ|ม|ิ:่:น|	s:i|m:m:e|n|
แ:ซ|น|ด:์|ส|	s|a:n|d|e:s|
ไ:ฮ|บ|ร|ิ|ไ:ด:เ|ซ|ช:ั|น|	h|y:b|r|i|d:i|s:a|t:i:o|n|
ค|า|ร:์|น:่:า|	k|a|r|n:a|
ว|ิ|ซ|ิ|น|ี|	v|i|c|i|n|i|
ม|ั|ล|ล:ี:เ|น|อ:ร:์|	m|u|l|l:i|n:e|r|
เ:อ|ก:ซ:์|ท|ร|า|เ:น:็|ต|	e|x|t|r|a|n:e|t|
ก:็:อ|บ|บ:ี:้|	g:o|b|b:i|
ล|อ|ฟ|ต|ิ|ส|	l|o|f|t|i|s|
เ:ซ|เ|ว|อ:ร:์|ส|ั|น|	s|e|v|e:r|s|o|n|
เ:น|ว:ิ|ส|	n|e:v:i|s|
บ|ร|ิ|ด:จ:์|เ:ม:ิ|น|	b|r|i|d:g|m:a|n|
เ:ม:อ|ร:์|ว|ิ:้:น|	m:e|r|v|i:n|
เ:อ|ี:ย|ร:์|ฮ|า|ร:์|ต|	e|a|r|h|a|r|t|
จ|อ|ฟ|ฟ|์|	j|o|f|f|e|
ส|ป|ล|อ|น|	s|p|l|a:w|n|
ไ:ว:เ|ด|อ|ร:์|	v:i|d|o|r|
พ|ิ|ล|ั|ต|	p|i|l|a|t|
โ:ฮ|ล|เ:ม:ี|ย|ม|	h|o:l|m:i|u|m|
จ|ั|ต|แ:ล|น|ด:์|	j|u|t|l|a:n|d|
ม|า|ร:์|ท|ิ|น|า|	m|a|r|t|i|n|a|
เ:พ|ส|ท|า|ล|อ|ซ|ซ|ี|	p|a:s|t|a|l|o|z|z|i|
แ:ว|ช|า|	v|a:c:h|a|
พ|ั|ต|ท|ู|โ|ล|่|	p|a|t|t|u|l|l|o|
ไ:ฮ|เ|พ|อ:ร:์|ท|อ|น|ิ|ก|	h|y|p|e:r|t|o|n|i|c|
เ:บ|ร|ต|	b|r:e|t|
พ|อ|น|ส:์|เ:ฟ:ิ|ร:์|ด|	p|o|n|s|f:o|r|d|
โ:พ|ล|ก|า|	p|o:l|k|a|
แ:บ|ร|น|ส:์|ค|ั|ม|	b|r:a|n|s|c|o|m:e|
เ:ม:ิ|ก:เ:ค|น|ซ|ี|่|	m:c|k:e|n|z|i|e|
ฮ|ั|ด|เ:ด:ิ|ล|	h|u|d|d|l:e|
บ|า|ซ|า|	b|a|z|a|
อ:ั:ล|ท|ิ|พ:ล:า|โ|น|	a:l|t|i|p:l|a|n:o|
พ:ี|น|ี:ย:์|	p|i:n|e:y|
ค|ิ|ด|น|ี:ย:์|	k|i|d|n|e:y|
โ:ซ|ล|	s:o:u|l:e|
ด|า|ด|า|	d|a|d|a|
พ|อ|ล|เ:ล:อ|ร:์|	p|o|l|l:e|r|
ว|ั|ล|เ:ท|อ:ร:์|	w|a|l|t:h:e|r|
ไ:ม|ก:์|	m|i:k:e|
บ|ิ|ซ:ิ:เ|น|ส|	b|u|s:i|n:e|s:s|
เ:อ|เ:ว:ิ|ร:์|น|เ:ด:ิ|้:น|	e|v:e|r|n|d:e|n|
บ|ิ|ล|เ:ก:อ|ร:์|	b|i|l|g:e|r|
เ:ม|า|น|ต:์|จ|อ|ย|	m|o:u|n|t|j|o|y|
เ:ม|ิ:่:ก|เ:ค|ล|า:ด:์|	m|c|c|l:o|u:d|
โ:ป:โ|ล|	p:o|l:o|
แ:ล|ม|า|ด|	l|a:m|a|d:e|
เ:ค:ิ|ร:์|ต|ส|	k:u|r|t|z|
น|อ|ก:ซ:์|	k:n|o|x|
เ:จ:อ|ร:์|ว|า|ซ|ี|	g:e|r|v|a|s|i|
บ|า|ร:์|ต|ล|ี:ย:์|	b|a|r|t|l|e:y|
ว:ั|น|เ:ว|ย:์|	o|n:e|-:w:a|y|
เ:ท:็|ก:ส:์|เ:ต|อ|ร:์|	t:e|x|t|o|r|
แ:ม:็|ก|เ:ค|ิ:ล|แ:ด|ร:์:ร|ี:่|	m|c|e|l|d:e:r|r|y|
ค|ร|า|ฟ|ต:์|	c|r|a|f|t|
อ:ี|เ:ซ:ิ|ต|	i|z:a|t|
อ|อ:ร:์|ล|ิ|น|	o|r|l|i|n|
เ:ค:อ|ร:์|ว|อ|น|	k:i|r|w|a|n|
ม|อ|ส|เ:ซ|อ:เ:ล|อ:ร:์|	m|o|s|s|l:e|r|
ฮ:า:ว|เ:อ:อ|ร:์|ต|ั|น|	h:o|w:e|r|t|o|n|
เ:น|ล|ส|ั|น|	n|e:l|s|o|n|
ด:า:ย|เ:อ|อ:ร:์|	d:y|e|r|
ค|อ|ร:์|ร:ี|	c|o|r|r:i:e|
น|ู|บ:ี:้|	n|e:w|b:y|
ม|า|เ:น|,|	m|a|n:e:t|,|
ซ|ิ|ล|ล|ิ|ม|า|ไ:น|ต|์|	s|i|l|l|i|m|a|n|i:t|e|
ล|ิ|บ|บ|ี|	l|i|b|b|y|
ช|โ:ร|	s:h|e:r:o|
พ:ี|โ:อ|เ:อ:ช|ซ|ี|	p|o|h|c|s|
ว|ิ|น|ซ|์|	v|i|n|c|e|
เ:อ:อ|ว|ั|น|ส:์|	a|v|a|n|s|
ร|ี:โ:ว|ล|เ:ว:อ|ร:์|	r:e|v:o|l|v:e|r|
อ|บ:ิ:ว|ส|์|	a|b:u|s|e|
แ:ฟ|ร:ิ|ส|	f|a:r:i|s|
เ:ม|ซ:ี|	m:a:i|s:i:e|
เ:อ|ร|ิ|ก|า|	e|r|i|c|a|
ส|ต|ู|ด|ิ|โ:อ|	s|t|u|d|i|o|
อ:อ|ก|โ:ท|ป|ั|ส|	o|c:t|o|p|u|s|
แ:บ|ร|บ|ิ|ส|	b|r:e|b|i|s|
แ:ล|น|	l|a:n|
แ|ล|ง|เ:ด|ล|	l:a|n|g|d|a:l:e|
ร|ิ|จ|เ|ว|ย:์|	r|i|d|g|w:a|y|
เ:ร|น|ช|์|	w:r:e|n|c|h|
เ:อ|ล|บ|า|	e|l|b|a|
แ:บ:็|บ|บ:ี:้|	b:a|b|b:y|
เ:ค:ิ|ร:์|ด|	c:u|r|d|
เ:ม:ิ|ก:ค:ล|า|ฟ|ล|ิ|น|	m|c:l|a|u:g:h|l|i|n|
ม|า|เ:ล|อ:ร:์|,|	m|a|h:l:e|r|,|
อ:ี:เ|ฟ|ร|ม|	e|p:h|r:a:i|m|
ซ|ิ|ล:ี:่|	s|e:e|l:y|
เ:บ:อ|โ|ร|น|	b|a|r:o|n:e|
เ:ม|น|เ:น:ิ|น|	m|e:n|n:e|n|
ก|า|ร:์|เ:ม|น|ต:์|	g|a|r|m|e:n|t|
บ|ร:ู|ก|ส:์|	b|r:o:o|k:e|s|
เ:อ:ิ|ฟ|เ:ฟ:ิ|น|เ:บ:อ|ร:์|เ:ก:อ|ร:์|	o|f|f:e|n|b:u|r|g:e|r|
ไ:อ|ซ|์|	i|s|e|
ไ:ช|เ:ล|อ:ร:์|	s:c:h|i:l:e|r|
เ:อ|ล|เ|ม|ิ:่|น|	e|l|l|m|a|n|
แ:อ|ด|ด|ิ|ท|ิ|ฟ|	a|d|d|i|t|i|v:e|
ท|อ|ล|ี|เ:ซ|่|น|	t|a|l|i:e|s|i|n|
ซ:ี:เ|ค:ิ|ล|	s:i|c:h:e|l|
ก|า|ม|ี|ย:์|	c|a|m|i|l:l:e|
เ:พ:อ|ร:์|ด|ู|	p:e|r|d|u:e|
เ:ด|ก|เ:ก:อ|ร:์|	d|e:k|k:e|r|
ก|ล|อ|ส|เ:ซ:ิ|ป|	g|l|o|s|s:o|p|
ไ:ม|ย:์:เ|อ|อ:ร:์|	m|a:y|o|r|
แ:ว|น|ด|์|	v|a:n|d|e|
โ:จ|ล|ส|ั|น|	j:o:e|l|s|o|n|
ด:็:อ|ด|ด:์|	d:o|d|d|
แ:ซ|น|ด:์|แ:ม|น|	s|a:n|d|m|a:n|
ก|า|ร:์|เ:ด|ล|ล:่:า|	g|a|r|d|e:l|l:a|
ค|ู|ม|	k|u|m|
แ:ว:เ|ล|ี:ย:ม|	v:a|l:i|u:m|
ล|า|	l|a|
ก|ว|ิ|โ:ด:้|	g|u|i|d:o|
ล|ิ|น|ด:์|เ|ซ|ย:์|	l|i|n|d|s|a|y|
แ:ฮ|ฟ|ว|ิ|ก|	h|a|v|l:i|k|
พ|า|ร:า|แ|ม|ก|เ:น|ต|ิ|ก|	p|a|r|a|m:a|g|n|e:t|i|c|
เ:อ|ก|ล|ิ|น|เ:ต|ิ:้:น|	e|g|l|i|n|t|o:n|
โ:น|ล:่:า|	n:o:l|l:a|
เ:ช|ฟ|เ:ฟ:อ|ร:์|	s:h:a|f|f:e|r|
ว:ิ:ส|เ:ซ:อ|เ:ม:อ|ร:์|	w:i|s|m:e|r|
เ:ม|ิ:่:ก|ม|ั|ล|เ:ล|ิ:่:น|	m|c|m|u|l|l|i:n|
บ:ุ|ร:์|ก|อ|ย:น:์|	b:o:u|r|g|o|i:n|
ฟ|ิ|ต|ช|์|	f|i|t|c|h|
ส|เ:ต:็|ป|	s|t:e|p|
ค|ู|ช|ิ:่|ง|	c|u|s:h|i|n:g|
ช|ี|ฮ|ี|	s:h|e:e|h|y|
เ:ม|ล|เ:ช|อ:ร:์|	m|e:l|c:h:o|r|
ก|็|อ|ง|	c|a|e|n|
ซ|า|น:า|	s|a|n:a:a|
แ:บ|ร:์:ร|ิ:ก|	b:a:r|r|i:c:k|
เ:ก:อ|ร:์|ส|เ:ต:อ|ร:์|	g:e|r|s|t:e|r|
ซ|ู:ว:์|อ:อ|ล:ล:์|	s|e:w|a|l:l|
เ:อ:็|ด|เ:ม:ิ|น|เ:ต|ิ:้:น|	e|d|m:o|n|t|o:n|
ฮ|ิ|ป|โ:ซ|ม:ิ|เ:ต:อ|ร:์|	h|y|p|s|o:m:e|t:e|r|
ช|ม|ิ|ด|	s:c:h|m|i|d|
อ:อ|ร:์:เ|ว|ล:ล:์|	o|r|w:e|l:l|
แ:ม:ต|ต|ิ:้:น|	m:a|t:t|i:n|
โ:บ|โ:ก|ต|า|	b|o:g:o|t|a|
เ:ม|ิ:่:ก|เ:ค|เ:น:อ|ร:ี:่|	m|c|e|n:e|r:y|
เ:ด:อ|ล|า|ก|า|ร:์|ซ:่:า|	d:e|l|a|g|a|r|z:a|
บ|ร|ุ:ก|ส:์|	b|r|o:o:k|s|
ไ:ม|โ|ท|ซ|ิ|ส|	m|i|t:o|s|i|s|
ย:ู:เ|อ:ิ|้:น|	e:w|e|n|
ว|ี|ค|อ|ฟ|	w|y|c|o|f:f|
ท|ว|ิ|น|	t|w|i|n|
ไ:ฮ|เ|น|	h|e:i|n:e|
ว|อ|ร:์|ด|เ:ม|ิ:่|น|	w|a|r|d|m|a|n|
อ:ิ|ล|ค|ิ|น|	e|l|k|i|n|
อ:ิ|ฟ|ล:ิ|น|	e|v|e:l:y|n|
บ:ี|เ:บ:ิ|ล|	b:e:a|b|l:e|
ม:ี:เ|ล|,|	m:i|l:l:e|t:,|
ไ:ฟ|ล|ช|เ:ม|ิ:่:น|	f|l:e:i|s:c:h|m:a:n|n|
ท|อ|ย|เ:ล|ต|	t|o|i|l|e:t|
เ:ฮ|ล|เ:ม:อ|ร:์|	h|e:l|m:e|r|
เ:ฮ:เ|ด|อ:ร:์|	h:a|d:e|r|
ช|ไ:ม|เ:ซ|อ:ร:์|	s:c:h|m:e:i|s:s:e|r|
เ:บ|อ:ร|่:า|	b:u:r|r|a|
เ:ค|ล|เ|น|อ:ร:์|	k|e:l|l|n:e|r|
ซ|อ|น|น|ี|	s|o|n|n|y|
ป|า|ไ:น|	p|a|n:a:y|
ม|อ|ส|	m|o|s:s:e|
แ:บ|ล:็:ก|เ:ค:อ|ร:์|	b:l:a|c|k:e|r|
ฮ|ิ|ส|ท|า|ม|ิ|น|	h|i|s|t|a|m|i|n:e|
ช:า|ร:์|ต|	c:h:a|r|t:s|
เ:ฟ|า|ส|์|บ|อ|ล|	f|a|u:s|t|b|a|l:l|
ส:เ:ต|ร|ป|โ:ท|ไ:ม|ซ|ิ|น|	s:t|r:e|p:t|o|m|y|c|i:n|
ซ:ี|เ:ม|ิ:่|น|	s:e:e|m|a|n|
ค|ร|อ:ว:์|ฟ|ิ|ช|	c|r|a:w|f|i|s:h|
แ:ค:น|เ|ท|ร|ล|ล:์|	c:a|n|t|r|e:l|l|
เ:พ:เ|ล|ิ:ม|	p:e|l|h:a:m|
เ|บ|ง:ก:์|ส:เ:ต|ิ:้:น|	b|e|n:g|s:t|o:n|
เ:ว|ด:เ:ด|ิ:ล|	w:e:d|d:e|l|
ไ:ก|ล|ส:์|	g|l:e:i|s|
ซ|อ|ฟ|ต|์:แ:ว|ร|์|	s|o|f|t|w:a|r|e|
ฮ|ิ|ล|า|ร|ี|	h|i|l|a|r|y|
ก|ิ|บ|บ:์|	g|i|b|b|
เ:ช|เ:ซ:ิ|่:น|	c:h:a|s:e|n|
โ:พ|ล|า|ร|ิ|ม:ิ:เ|ต|อ:ร:์|	p|o:l|a|r|i|m:e|t:e|r|
โ:ห:ล|ด|	l:o|d:e|
ส|เ:ป:อ|ร:์|ม|า|โ:ก:เ|น|ี:ย:ม|	s|p:e|r|m|a|g:o|n:i|u:m|
เ:ฮ|า|ป|ต:์|เ:ม|ิ:่:น|	h|a:u|p|t|m:a:n|n|
อ|ล|ิ:ง|	a|l:l|i:n:g|
เ:บ|ร|น|น:์|	b|r|e:n|n|
เ:ว:ิ|ร:์|ม|เ:ซ|อ:ร:์|	w:o|r|m|s|e:r|
โ:ร|แ:ซ|ล|บ:้:า|	r:o:s|a|l|b:a|
เ:พ|ิ:ร:์|ต|	p:e:a|r|t|
เ:อ|ป|แ|ม|น|	a|p|e|m|a:n|
ด|ู:ส|	d|u:c:e|
ว|อ|ล|เ:ต:ิ|ร:์|ส|ด|อ|ร:์|ฟ|	w|a|l|t:e|r|s|d|o|r|f|
เ:ว|ด|เ:ด:ิ|ล|	w|e:d|d|l:e|
ค|ั|ส|เ:ต:อ|ร:์|	c|u|s|t:e|r|
ฮ|อ|ร:์|ส|เ:ท|ล|	h|o|r|s:e|t:a:i|l|
ซ:ี:อ|า:ร:์|แ:อ:ล|	z|r|l|
แ:บ|น|เ:ว|ล|	b|a:n|w:e:l|l|
โ:อ|ฮ|า|ก|อ|น|	o|h|a|g|a|n|
เ:ม|ิ:่|ก|แ:ม|ส|เ:ต:ิ|ร:์|ส|	m|a|c|m|a:s|t:e|r|s|
ร|ิ|ต|	r|i|t:t|
แ:ก|ร|เ:น|ิ:่:ม|	g|r:a|n|u:m|
ไ:ค|ต|์|	k|y:t|e|
เ:ค|น|ท|ั|ก|ก|ี|	k|e:n|t|u|c|k|y|
ฮ:า:ว|เ:อ:ิ|ล|ส:์|	h:o|w:e|l:l|s|
ซ:ู|ก|ล:ี|	z:o:o|g|l:e:a|
ร|ี|ร|ี|่|	r|i|r|i|e|
ด|า|ว|น|ึ|ส|	d|o|w|n|e|s|
เ:ก|ร|เ:น:อ|ร:์|	g|r:a|n:e|r|
ซ|ั:ม:เ|ม|อ:ร:์|,|	s|u:m|m:e|r|,|
เ:ด|ว:อ|น|ส:์|	d|e:v:o|n|s|
เ|บ|อ:ร:์|ล|ิ|น:เ:น|อ:ร:์|	b|e|r|l|i|n:e|r|
โ:ค|ต|เ:ม|ิ:่|น|	c:o:a|t|m|a|n|
ฮ:ิ:ว|ม|ี:่|	h:u|m|i|
พ:ี|เ:อ:ช|ว:ี|	p|h|v|
โ|ก|ล|ด|ิ:้:น|	g|o|l|d|i:n|
ฟ|ร|ิ|ส|เ:น:อ|ร:์|	f|r|i:e|s|n:e|r|
ล|ู:ว:์|	l|e:w|
เ:จ|ม|ส:์|ท|า|ว|น:์|	j|a:m:e|s|t|o|w|n|
บ|ร:ั|ม|ป:์|เ:ต|ิ:้:น|	b|r|o:m|p|t|o:n|
แ:ซ:เ|ล|อ|เ:ม:ิ|น|	s:a|l|o|m:o|n|
ส:แ:ต|น|ด:์|อ|โ|ล|น|	s:t|a:n|d|-|a|l:o|n:e|
ช|ว|ิ|ม|เ:ม:อ|ร:์|	s:c:h|w|i|m|m:e|r|
ส|ต:็:อ|ก|เ:ม|ิ:่|น|	s|t:o|c:k|m|a|n|
ค|อ|ล|ล|ิ|น|ซ:ั:น|,|	c|o|l|l|i|n:s|o:n|,|
ร|ั|น:เ|น|ิ:่:ล|ส:์|	r|u|n|n:e|l|s|
เ|บ|ล|ว:ู|๊:ด|	b|e|l:l|w:o:o|d|
แ:พ|น|ต:์|	p|a:n|t|
ม:า:เ|ล|ี:ย|	m:a|l:i|a|
ล|อ|ม|บ|า|ร:์|ด|	l|o|m|b|a|r|d|
เ:พ:็|ป|เ:ป:อ|ร:์|ด|ิ|น|	p:e|p|p:e|r|d|i|n:e|
โ|ซ|ซ:่:า|	s|o|s:a|
เ:ก|ม|เ:ม:อ|ร:์|	g|a:m|e|r|
โ:ช|เ:ว|ล|	s:h:o|w|e:l|
ร:ี|เ|บ|อ:ร:์|	r:i:e|b|e|r|
เ:พ|ส|ท|ร|ี|	p|a:s|t|r|y|
อ:า|ร:์|ค|ี:โ:อ|โ|ซ|อ|ิ|ก|	a|r|c:h|e|o|z|o|i|c|
อ:ั:ล|ม|อ|น|ด:์|	a:l|m|o|n|d|
แ:ม|น:เ:ด|ิ:ล|เ:บ|า|ม:์|	m:a:n|d:e|l|b|a:u|m|
ซ|า|จ|ิ|ต|ท|า|เ:ร|ี:ย|ส|	s|a|g|i|t|t|a|r|i|u:s|
ม:ี:เ|ด|ี:ย|	m:e|d:i|a|
ไ:อ|ด:ี|แ:อ:ล|เ:อ:ช|	i|d|l|h|
ม|ิ|ส|ก|อ|ฟ|ส|ก:ี:้|	m|i|s|k|o|v|s|k:y|
แ:ว|น|น|ิ:ส|ท:์|	v|a:n|n:e|s|t|
ช|ั|ต:ส:์|	s:c:h|u|t:z|
ว|ี|บ|อ|ร:์|ก|	v|y|b|o|r|g|
ป|ิ|แ:อ|ร:์|	p|i|e|r:r:e|
เ:ร|ม|เ:ม:ิ|ล|	r|e:m|m:e|l|
ฮ|า|ร:์|ด|บ:อ|ร:์|ด|	h|a|r|d|b:o:a|r|d|
ส|ค|ิ|บ|	s|k|i|p|
แ:ร|ส:เ:ต|อ:ร:์|	r:a:s|t|e:r|
ท:ี|เ:อ:อ|ด|อ|เ:ร:ิ|ส|	t:h:e|o|d|o|r:u|s|
เ:ร|เ:ว|ิ:น|ส|์:เ:ด|ล|	r|a:v:e|n|s|d:a|l:e|
เ:ฟ|ล|ม|ิ:ง|,|	f|l:e|m|i:n:g|,|
พ|ร|ิ|ส|ซ:ิ|ล:ล:า|	p|r|i|s|c:i:l|l:a|
แ:อ|ด|ไ|ว|ซ|อ|ร|ี|	a|d|v|i|s|o|r|y|
ค|ร|ิ|ป|โ:ต|ส|ป|อ|ร:ิ:เ|ด|ี:ย:ม|	c|r|y|p:t|o|s|p|o|r:i|d:i|u:m|
อ:ู|ต|ร|ี|โ:ย|,|	u|t|r|i|l:l:o|,|
เ:ม:็|ด:เ:ด|ิ|ส|	m:e|d|a|s|
ค|ั|ป|เ:พ|ล|เ:ล|ต:ี:้|	c|a|p|p|e:l|l:e:t|t:i|
ว|อ|ล|ี:่|	w|a|l|i|
แ:อ|ล|บ:ิ:ไ|ท|ต|์|	a|l|b:i|t|i|e|
ป|า|ป|ั|ว|	p|a|p|u|a|
ด|ิ|ก|	d|i|c:k:e|
บ|ี|เ:ล:ิ|ก|	b|i:e|l:a|k|
เ:ม|ต|ร|ิ|ก|	m|e:t|r|i|c|
ฮ|ี|ด|	h|e:e|d:e|
โ:อ|เ:ว:อ|ร:์|เ:ต|ิ:้:น|	o|v:e|r|t|o:n|
เ|ค|ฮ|ิ|น|	k|a|h|i|n|
ค|า|ฟ|ิ:ม|ิ|ก|	c|a|f:e|m|i|c|
อ:า|ร|์:โ:ว|	a|r|v:o|
ร:ี|เ:ซ|อ:ร:์|	r:i:e|s|e:r|
พ:ิ:ช|ช:า|	p:i|c:h:a|
ท|ร:ี|	t:h|r:e:e|
ก:า|น|า|	g:h:a|n|a|
ม|อ|ส:เ:ต|ร|ิ:ส|	m|o|s:t|r:a|s|
ด|ิ|ส|แ:อ|ส|เ:ซ:ม|เ:บ|ล|อ:ร:์|	d|i|s|a|s:s|e:m|b|l:e|r|
ซ|ั|ก|ค:ิ:ว|เ:ล|น|ต:์|	s|u|c|c:u|l|e:n|t|
เ:ค|ี|ย:ร:์|ซ|า|ร:์|จ|	k|e:a|r|s|a|r|g:e|
อ:ี|เ|บ:ิ|ต|ส|ั|น|	i|b|b|o:t|s|o|n|
บ:ิ|ช|	b:y:s|s:h:e|
แ:ช|ม|เ:ป|ี:ย|น|ช|ิ|ป|	c:h:a|m|p|i|o:n|s:h|i|p|
น|อ|น|ม:ี|เ:ท|น|	n|o|n|-:m:e|t:h:a|n:e|
แ:บ|ล|ร:์|,|	b:l:a|i|r|,|
เ:ฮ|ล|ี|น:่:า|	h|e:l|i|n:a|
แ:พ|ส|ต|ั|น|	p|a:s|t|o|n|
เ:อ|ง|เ:ก:ิ|ล|เ:บ:ิ|ร:์|ต|	e|n|g:e|l|b:e|r|t|
แ:ค|ล|ม:เ:ต|ิ:้:น|	c|l:a|n:t|o:n|
ฮ:อ|ฟ|	h:a:u|f|
แ:ค|ม|ป:์|โ|ท|ไ:น|ต|์|	c|a:m|p|t|o|n|i:t|e|
แ:ม|ก:ซ:์|เ:ว|ล|ล:์|,|	m|a:x|w|e:l|l|,|
เ:อ|น|เ:จ:ิ|ล|	a|n|g:e|l:l|
จ|อ|ส|ก|์|	j|o|s|k|e|
ล|ู|ม|ี:แ:ย|ร:์|,|	l|u|m|i:e|r|e:,|
ส|ป|ล|ิ|ต|	s|p|l|i|t:t|
จ|ิ|ล:ล:์|	j|i|l:l|
ซ|า|ม|ิ|ซ|ด|ั|ต|	s|a|m|i|z|d|a|t|
น:ู|ด|ส|ั|น|	k:n:u|d|s|o|n|
บ|อ|ล|เ:ล:อ|ร:์|	b|o|l|l:e|r|
เ:ท|น|ี|ส|ั|น|	t|e:n|i|s|o|n|
ด|ิ|แ|ร|ก|	d|i|r|a|c|
เ:ม|ล|ฮ|ิ|ส|	m|e:l|h|u|s|
ว|อ|ร:์|ร|ิ:ง|เ:ต|ิ:้:น|	w|a|r|r|i:n:g|t|o:n|
ว|ิ|เ:ว|ี:ย|น|	v|i|v|i|a:n|
แ:ค:ส|เ:ซ|ิ:ล|เ:ม:ิ|น|	c:a|s:s:e|l|m:a|n|
แ:ซ:ฟ|เ|ฟ|ี:ย|ร:์|	s:a|f|f|i|r|
ฟ|า|ร:์|เ:ล:ิ|่:น|	f|a|r|l:a|n|
ฟ|ล|ิ|น|เ:ด:ิ|ร:์|ส|	f|l|i|n|d:e|r|s|
แ:ฮ:ม|เ:ม|ิ|ล|	h:a|m|m:i|l:l|
น|อ|ต|	k:n|o|t|
เ:ล|ี|ย|ร:์|	l|e|i|r|
ส|ต|อ|เ:ร:อ|ร:์|	s|t|o|r:e|r|
ร|อ|ล|ี|	r|a|l:e|i:g:h|
เ:อ:ช|.|	h|.:,|
ด|อ|ย|ล|ี|	d|o|i|l|y|
ก|ู|แ:ล|ช|	g|o|u:l:a|s:h|
เ:ฮ|อ:ร:์|โ|ม|โ|ป|ล|ิ|ส|	h|e|r|m|o|p|o:l|i|s|
ว|ิ|ก|เ:ก:ิ|ร:์|ส|	w|i|g|g:e|r|s|
ค|ล|ั|ง|	c|l|u|n:g|
ม:า:เ|ท|อ|ร:์:เ|ว|ล:ล:์|,|	m:o|t:h|e|r|w:e|l:l|,|
น|็:อ:ป|ป:์|	k:n|o:p|p|
แ:ก|ร|ิ|ก|	g:e:h|r|i|g|
ก|า|เ:บ:ิ|ล|	g|a|b:e|l|
ฟ|ิ|ล:์|ม|ส|ต|ร|ิ|ป|	f|i|l|m|s|t|r|i|p|
แ:ค:น|เ|ด|า|	c:a|n|d|a:u|
แ:ช|ร|ง:ก:์|	s:c:h|r:a|n:k|
เ:ด:อ|เ:ค|ย|์|	d:e|k|a|y|
แ:ม:เ|น|จ|เ:ม|น|ต:์|	m:a|n|a:g:e|m|e:n|t|
ต|ู|น|ิ|เ|ซ:ี:ย|	t|u|n|i|s|i:a|
ฟ|ร:อ|น|ส|์|	f|r:a:u|n|c|e|
ส|ป|ิ|น|ิ:ช|	s|p|i|n|a:c:h|
โ:ย:เ|ฮ|	y:o|h:e|
อ:อ|ล|ด|ิ:ง|ต|ั|น|	a|l|d|i:n:g|t|o|n|
ไ|ล|ฟ|์|ก:า|ร:์|ด|	l|i|f|e|g:u:a|r|d|
โ:ม|น|ค|า|ด:้:า|	m|o:n|c|a|d:a|
เ:อ|ง|เ:ก:ิ|ล|เ:ม|ิ:่|น|	e|n|g:e|l|m|a|n|
ซ|ี|ค|อ|ร:่:า|	s|i|k|o|r:a|
อ|อ:ร:์|แ:ก:เ|น|ล|ล|์|	o|r|g:a|n:e|l|l|e|
เ:ก|ร|ช|	g|r:e|t:c:h|
ด|ี|ม|า|ร:์|	d|e|m|a|r|
โ:น|ส|เ:ว:อ|ร:์|ท|ี:่|	n:o:s|e|w:o|r|t:h|y|
ฮ:อ|น|	h:a:u|n|
ฮ|ั|น|ต:้:อ|น|	h|u|n|t:o|n|
แ:บ|ต|แ:ม|น|	b|a:t|m|a:n|
แ:ม|น|ล|ี:ย:์|	m|a:n|l|y|
บ|า|ร:์|ต|ส|	b|a|r|t|z|
