ה|ו|ל|מ|ז|	h|o|l|m:e|s|
ד|ה|א|ם|	d|a:h|a|m|
ד|א:פ|י|	d|u:f:f|y|
ק|ר|י|ת|	k:i|r|y|a:t|
מ:ו|נ|י|ר|	m:o:u|n|i|r|
מ|י|ל|א|נ|ו|	m|i|l|a|n|o|
ס|ו|ד|י|ו|ם|	s|o|d|i|u|m|
ס|פ|י|צ|ר|	s|p|i|t:z|e:r|
ד:י|א|ב|	d:h:i|a|b|
ד|י|ס|ק:ב|ר|י|	d|i|s|c:o:v|e:r|y|
ק|ו|פ|ר|נ|י|ק|ו|ס|	c|o|p|e:r|n|i|c|u|s|
ר|א|מ|ב|ו|ט|א|ן|	r|a|m|b|u|t|a|n|
פ|י|י|ט|ו|ן|	p|e|y|t|o|n|
נ|ו|מ|ב|י|ט:י|	n|o|m|v|e|t:h:e|
ל|ו|ת|י|י|ר|	l|o|t:h|a|i|r|
ו:ר|מ|י|ל|ה|י|נ:ו|	v:e:r|m|e|l|h|i|n:h:o|
ק|א|ט|א|ל|ו|נ|י|א|	c|a|t|a|l|o|n|i|a|
נ|א|ג|א|נ|ו|	n|a|g|a|n|o|
ג|י|ב:ז|	g|i|b:b:s|
ג:ו|ס|	g:u:u|s|
מ|א|י|א|ק|ו|ב|ס|ק|י|	m|a|y|a|k|o|v|s|k|y|
מ|י|נ|א|ס|ה|	m|e|n|a|s:s|e|
מ|א|ס|א|ר|ו|	m|a|s|a|r|u|
ר|ו|ש|	r|o|c:h:e|
ו|נ|ק|ו|ב|	v:e|n|k|o|v|
א:י|ס|ר|	i|s:s|e:r|
ט|ו|מ|א|ר|ט|	t|u|m|a|r|t|
ס|א|ב|י|ל|י|י:ט:ש|	s|a|v|e|l|j|i:c|
ה|א|ר|ל|	h|a|r:r:e|l:l|
ר|א|ט|ז|ל|	r|a|t|z|e:l|
א|ד|ו|ל|ף|	a|d|o|l|f|
ד|י|ל|	d|e|l|
ו|י|ט|א|ל|י|ס|	v|i|t|a|l|i|s|
ר|י|ג:י|י|ר|ו|	r|e|g:u:e|i|r|o|
ב|י|ל|י|נ|י|	b|e|l:l|i|n|i|
ב|א|ר|ט|	b|a|r:t|h:e:s|
ל|א|ט|ו|ף|	l|a|t|u|f:f|
ב|א|ר|מ|ו|ס|	b|a|r|m|o|s|
ג:'|ו|ר|ק|א|ס|	g:i:o|u|r|k|a|s|
ס|ט|א|נ|ק|ו|ב|י:ט:ש|	s|t|a|n|k|o|v|i:c|
מ:י|ד|ז|ו|ג:ו|ר|נ|ו|	m|e|z:z|o|g:i:o|r|n|o|
מ|ס|ע:ו|ד|	m:a|s:s|o|u:d|
ס|פ|	s:e|p:p|
ק|ל:י:י|ר|	c|l:a|r:e|
י|א|ג:':י|מ|א|	y|a|j:i|m|a|
ד:ו|י|ר|ט|י|	d:o:h|e|r|t|y|
ל|י|ז|	l|i|z|
ב|א|ר|ט|ו|ל|ו|צ:':י|	b|a|r|t|o|l|u:c|c:i|
ג:':ו|נ|ס|ט|ו|ן|	j:o|h:n|s|t|o|n|
מ:א|נ|י|פ|י|ק|א|ט|	m:a:g|n|i|f|i|c|a|t|
מ|י|ל|א|	m|i|l|a|
ה|א|י|ז|	h|a|y:e|z|
מ|כ|ב|י|	m:a|c:c:a|b|i|
ב|א|ל|ד|ו|ר|	b|a|l|d|u|r|
מ|א|ט|ס|ק|א|ז|י|	m|a|t|s:u|k|a|z|e|
ג:':י|נ|י|ו|	j:i|n|y|u|
ג|ו|א|נ|ג|ה|ו|	g|u|a|n|g|h|u|
ב|ו|ל|י|א|ן|	b|u|l|j|a|n|
א|פ|ו|ל|י|א|	a|p|u|l|i|a|
ק|ל|י|מ|נ|ט|	k|l|i|m:e|n|t|
ט|א|ג|א|	t|a|g|a|
ק|ו|נ|ט|א|ר|	k|u|n|t|a|r|
ג|ו|ג|ו|ל|	g|o|g|o|l|
פ|י|נ|א|	p|e|n|a|
מ|י|ט:ר:י|ב|י|ל|י|	m|e|t:r|e:v|e|l|i|
מ|א|ר|ל|י|ן|	m|a|r|l|e|n:e|
פ|א|ר:י|ל|	f|a|r:r:e|l:l|
ט|ו|ג|ו|	t|o|g|o|
ס|י|ב|י|ר|י|נ|ו|	s|e|v|e|r|i|n|o|
ה|י|ס|ה|	h|e|s:s|e|
ג|ו|ל|א|ם|	g:h|u|l|a|m|
פ|ו|נ:י|ט|	p|o|n:n:e|t|
ב|ו|ד|י|א|נ|י:ס|ק|י|	b|u|d|y|a|n|s|k:i|y|
ל|י|מ|א|ס|ו|ל|	l|i|m|a|s:s|o|l|
ב|ו|נ|ג|א|ר|ץ|	b|o|n|g|a|r|t:z|
א:י|ר|א|	i|r|a|
ה|ו|ל|	h|o|l:l|
ה|י|נ|ד|ר|י|	h|e|n|d|r|i:e|
ר|ש|א|ד|	r:a|s:h|a|d|
ל|ה|י|ב|	l|a|h:e:e|b|
מ:י|י|ן|	m|a:i|n:e|
ב|ל|מ|ו|נ|ט|	b:e|l|m|o|n|t|
ט|א|ה|א|	t|a|h|a|
ב|ו|י|א|ד|י|ן|	v|u|j|a|d|i|n|
ע|ד|י|	a|d|i|
ל:ו|ט|ש|ר|	l:o:e|t|s:c:h|e:r|
פ|ו|ד|ו|ל|ס|ק|י|	p|o|d|o|l|s|k|i|
ג|ר|י|י|ב|	g:h|r|a|i|b|
נ|א|ק|א|ה|א|ר|א|	n|a|k|a|h|a|r|a|
ה|ו|נ|י|ס|	h|o|e:n|e|ß|
ה|י|ר|ש|י|ל|	h|e|r|s:c:h|e|l|
מ|נ|ש|ה|	m:e|n:a|s:h|e|
ה|א|ס|ל|ר|	h|a|ß|l|e:r|
ה|ו|ג:י|ז|	h|u|g:u:e|s|
ג|י|א|ן|	g|y|a|n|
ס|א|ה|י|ן|	s|a|h|i|n|
ט|ר|י|ר|	t|r|i|e:r|
ד|ל|א:י|ל|ה|	d:e|l|i|l|a:h|
ר|י|צ:י|ט|י|ל|י|	r|i|z:z:i|t|e|l:l|i|
א:ו|ר|ל|י|נ|ז|	o|r|l|e|a:n|s|
ב|י|א|ר|נ|י|	b|j|a|r|n|i|
מ|א|ל|ק|ו|ל|ם|	m|a|l|c|o|l|m|
ו|י|ד|א|ל|	v|i|d|a|l|
ב|ו|ט|י|ל|י|	b|u|t|e|l:l|e|
ק|א|ר|ט|י|ר|ו|ן|	c|a|r|t|e|r|o|n|
ח|ד|א|ד|	h:a|d:d|a|d|
ס|ו|ר|י|ן|	s|o|r|e|n|
נ|ו|ר|ת|א|ם|	n|o|r|t:h|a|m|
ר|א|מ|ו|ס|	r|a|m|o|s|
ר|ו|ב|י|נ|ה|ו|	r|o|b|i|n|h|o|
ל|א|ל|	l|a|l|
ב|ק|ר|	b:a|k:a|r|
ג:':ו|ר|ו|ט|א|	j:u|r|o|t|a|
ה|י|ל|ג|ו|ס|ו|ן|	h|e|l|g|u|s|o|n|
א:י|ת|י|ל|	e|t:h|e|l|
ק|ו|ס|ט|י:ט:ש|	k|o|s|t|i:c|
ח:ו|ס|י|ן|	h:o:s|s:e|i|n|
א|ו|ס|ט|ר|א|ל|ו|פ|י|ת|ק:ס|	a|u|s|t|r|a|l|o|p|i|t:h:e|c:u:s|
ס|ו|מ|א|ל|י|ה|	s|o|m|a|l|i|a|
פ|י|ד|ר|ו|ס|	p|e|d|r|o|s|
מ|ס|י|נ|א|	m:e|s:s|i|n|a|
מ|א|י|מ|ו|ן|	m|a|i|m|o|n|
א|ל|י|ס|ט|א|	e|l|i|s|t|a|
ב|י|ל|י|	b|i|l:l|y|
מ|ר|י|ד|ו|ר|	m:e|r|i|d|o|r|
א|ל|ט|ו|ן|	a|l|t|o|n|
ה|ר|נ|א|נ|ד|י|ז|	h:e|r|n|a|n|d|e|z|
ק|י:ו|ט|י|	q:u|i:x:o|t|e|
ש|ב|א|י|נ|ש:ט|א:י|ג|ר|	s:c:h|w|e|i|n|s:t:e|i|g|e:r|
ב:י|צ:':א|ס:ט|נ|י|ך|	b:e:s|c:h|a:s:t|n|y|k:h|
ט|ס|א|ב|ט|	t|s|a|b:e|t|
פ|ר|א|נ|י:ט:ש|	p|r|a|n:j|i:c|
ט|ו|ג|א|י|	t|u|g|a|y|
א|ר|א|י|	a|r|a|e|
ב:ו|ט|ו|	b:h:u|t:t|o|
מ|י|ד|נ|ד|ו|ר|ף|	m|i|d:d|e:n|d|o|r|f|
ס|א|ב|א|י|	s:z|a|v|a|y|
נ|א|ק|א|ס|ו|נ|ה|	n|a|k|a|s|o|n|e|
מ|ו|ס|ע|ב|	m|o|s|a|b|
מ|ו|נ|ו|נ|ו|ק|	m|o|n|o|n|o|k:e|
א:י|ס|ל|א|ם|	i|s|l|a|m|
ג|ו|ט|מ|א|ן|	g|u|t:t|m|a|n:n|
ל|י|נ:ד|	l|i|n:d:h|
ו|י|ו|מ|י|נ|ג|	w|y|o|m|i|n|g|
נ|א:י|ג:'|י|ר|י|א|	n|i|g|e|r|i|a|
ג|א|נ|ד|א|ם|	g|u|n|d|a|m|
ח|מ|ד|א|נ|י|	h:a|m|d|a|n|i|
ת|ו|א|י|ט|	t:h|w|a|i|t:e|
ט|ו:ק|א|ן|	t|o:u:q|a|n|
פ|ר|א|נ|ק|ו|	f|r|a|n|c|o|
ל|א|נ|ג|	l|a|n|g|
ב:ו|ז|א|ר|ה|	b:o:u|z|a|r:a|h|
ג:':ו|נ|ס|ו|ן|	j:o|n|s|o|n|
פ|י|א|ס|ק|ו|	f|i|a|s|c|o|
ל:ו|י|צ|ק|י|	l:e:v|i|t:s|k|y|
ר|ו|מ|ל|	r|o|m:m:e|l|
ד|ו|כ|ו|ב|נ|י|	d|u|c:h|o|v|n|y|
פ|א|נ|י:א|נ|י|	p|a|g:n|a|n|i|
ב|א|מ|ר|	b|a|m:m:e|r|
ק|א|ל|א|נ|ג|א|	k|a|l|a|n|g|a|
פ|א|ט|ר|י|ק|	p|a|t|r|i|k|
ש|ו|ל|ז|	s:h|o|l|e:s|
ק|א|ר|פ|י|נ|ס|ק|י|	k|a|r|p|i|n|s|k|i|
א:ו|ל|י|מ|פ|י|א|ס|	o|l|y|m|p|i|a|s|
ד|א|ק|ו|ר|ט|	d|a|c|o:u|r|t|
ק|א|ט|א|ל|א|נ|י|	c|a|t|a|l|a|n|i|
נ|ו|י|מ|א|ן|	n|e|u|m|a|n:n|
מ|נ|ק|	m:u|n|k|
ג|ו|ל|ו|ן|	g|o:u|l|o|n|
מ|א|ד|ס|ן|	m|a|d|s|e:n|
ל|ו|ז|א|ן|	l|a:u|s|a|n:n:e|
ק|א|ר|ל|ט|ו|ן|	c|a|r|l|t|o|n|
ד|י|מ|י|ט|ר|י|	d|i|m|i|t|r|i|
ו|א|ל|נ|ט|י|ן|	v|a|l:e|n|t|i|n:e|
א:י|ס:ט|ק|ו|ט|	e|a:s:t|c|o|t:e|
ס|י|מ|ב|י|	s|i|m|b|i|
ג|א|ל|י|ל|א|ו|	g|a|l|i|l|e|o|
ב|ו|י|ו|ב|י:ט:ש|	v|u|j|o|v|i:c|
ק|א|פ|ל|י|נ|ס|ק|י|	k|a|p|l|i|n|s|k|y|
ה|א|נ|ס|	h|a|n|s|
ב|י|ר:י|	b|e|r:r:y|
ק|ו|ל|מ|ו|ג|ו|ר|ו|ב|	k|o|l|m|o|g|o|r|o|v|
ס|ו|ר|י|ן|	s|o|r|i|n|
ב|ו|ר|ו|נ|י|ן|	v|o|r|o|n|i|n|
ב|ו|ר|ד|	b|u|r|d|
ז|ר|מ|א|ט|	z|e:r|m|a|t:t|
ד|א|ר|ס|י|	d|a|r|c|y|
מ|א:י|ק|ל|	m|i|c:h:a|e:l|
פ|י|ל|ג|ו|י|	p|i|l|g|u|y|
נ|י|ק|ו|ל|א|	n|i|k|o|l|a|
ו|י|ר|ה|י|י|ן|	v|e|r|h:e|y|e|n|
י|ו|ש:י|ו|	y|o|s:h:i|o|
פ|ר|ו|ג|י|ר|י|א|	p|r|o|g|e|r|i|a|
ס|א|ו|מ|י|ל|	s|a|u|m|e|l|
פ|ר|י|נ|ס|ס|	p|r|i|n|c:e|s:s|
ק|א:י|ל|	k|y|l:e|
ק|א|ר|ד|י|נ|ל|	c|a|r|d|i|n:a|l|
א:ו|ל|מ:ו|	o|u:l|m:o:u|
פ|י|ל|י|	p|e|l:l|i|
ז|א|ק|ו|פ|א|נ|א|	z|a|k|o|p|a|n|e|
ק|א|ר|ל|ה|א|י|נ|ז|	k|a|r|l|h|e|i|n|z|
פ|ר|ד|י|נ|א|נ|ד|ו|	f:e|r|d|i|n|a|n|d|o|
ס|י|ל|ק|ו:ו|ד|	s|i|l|k|w:o:o|d|
מ|א|י|ד|ן|	m|a|i|d|i:n|
פ|י|ל|י|	p|e|l:l|e|
ב|ל|י|ס|	b|l|i|s:s|
ד|ל|א|ד|י|י|ה|	d:a|l|a|d|i|e|r|
ה|ו|ק|ו|ס|א|י|	h|o|k|u|s|a|i|
מ|א|ו|	m|a|o|
ר|ו|ס|ו|	r|u|s:s|o|
ס|ט|ו|ן|	s|t|o|n:e|
מ|ו|ר|ג|ן|	m|o|r|g|a:n|
מ|ו|ס|א|מ|פ|א|	m|u|s|a|m|p|a|
ו:ו|ר|ד|י|ק|ר|ז|	v:o:o|r|d|e|c:k|e:r|s|
ט|ר|א|י|א|ן|	t|r|a|i|a|n|
מ|ו|ד|ר|י|ק|	m|u|d|r|i|k|
ע|ן|	a:n|n:e|
ס|ו|ב|א|ר|ו|	s|u|b|a|r|u|
ש|ר|י|ה|א|ן|	s:h|e:r|i|h|a|n|
א|ד|ו|א|ר|ד|	e|d|w|a|r|d|
מ|ג:'|ד|י|	m:a|j|d|i|
ר|א|מ|ו|ן|	r|a|m|o|n|
מ:י|א|מ|ו|ט|ו|	m:i:y|a|m|o|t|o|
ט|י|צ:'|י|	t|i|c|h:y|
ע:י|ד|י|	i|d|i|
ב|ע|ל|ב|ק|	b:a|a|l|b:e|k|
נ|י|ל|ס|ו|ן|	n|i|l|s:s|o|n|
ג:':ו|ל|י|ו|ס|	j:u|l|i|u|s|
פ|י|ר|ו|צ:י|	p|e|r|u|z:z:i|
ת|ו|ר|	t:h|o|r|
מ|ו|ר|א|ב|י|א|	m|o|r|a|v|i|a|
ב|י|ל|י:י:ד|	b|e|l:a|i:d|
ט|י|ט|א|נ|ו|	t|i|t|a|n|o|
ב|ו|ס|א|צ|ק|י|	b|o|s|a|c|k|i|
ז|א|פ|א|ט|י|ר|	z|a|p|a|t|e|r|
ק|ו|ב|ו|נ|ט|ו|	k|u|b|u|n|t|u|
ז:א|ק|ר|מ|א|ן|	z:u:c|k|e:r|m|a|n:n|
ס|ו|א|ג|א|ר|ט|	s|w|a|g:g|a|r|t|
ק|ר|י|מ|ר|ז|	k|r|e|m:e|r|s|
ה:ו|ד|י|א|	h:o:o|d|i|a|
ד|ר|ו|	d|r:e|w|
ד|א|נ|ו|ן|	d|a|n|o|n|
ט|ט|ס|ו|	t:e|t|s|u|
מ|ו|ד|י|ל|י|א|נ|י|	m|o|d|i:g|l|i|a|n|i|
א:י|מ|ו|	e|m|o|
ר|ו|ט|ס|ו|ן|	r|o|t|s|o|n|
ס|ו|ב|י|ט|	s|u|b:a|i|t|
ג:'|ר|י|	j|e:r|r:y|
ה|א|י|מ|א|נ|ו|ט|	h|a|y|m|a|n|o|t|
ר|י|ד|ל|י|	r|i|d|l:e|y|
מ|ה|ד|י|	m:a|h|d|i|
ק|א|ר|א|מ|נ|ל|י|ס|	k|a|r|a|m:a|n|l|i|s|
א|ל|ב|א|ר|ו|	a|l|v|a|r|o|
מ|ו|נ|ט|י|ר|ו|	m|o|n|t|e|r|o|
ב|א|ט|מ|א|ן|	b|a|t|m|a|n|
ד|י|ל|א|ס|	d|e|l:l|a|s|
א|מ|צ|י|ה|	a|m:a|t:z|i|a|
ס|ט|י|פ|ן|	s|t|e|p:h|e:n|
נ|ק|ו|נ|א|ם|	n:e|k|o:u|n|a|m|
ש|י|ק|א|ר|ד|	s:c:h|i|c:k|a|r|d|
ע|ז|י|ז|	a|z|i|z|
ק|א|נ|פ|ו|ר|	k|a|n|p|u|r|
ס|ט|א|מ|א:י|ל|	s|t|a|m|i|l:e|
ר|י|כ:א|	r|e|i:j:a|
מ|י|ג|ל|י|ו|ר|י|	m|i|g|l|i|o|r|e|
ז|ו|י|ט|ר|מ|י|ר|	z|o|e|t|e:r|m:e|e|r|
ל|א|ט|י|מ|ר|	l|a|t|i|m:e|r|
נ|י|ש:י|מ|ו|ר|א|	n|i|s:h:i|m|u|r|a|
ו|י|נ|ט|ר|	w|i|n|t|e:r|
מ:ח|מ|ו|ד|י|	m:a:h|m|u|d|i|
ד|א|ד|א|	d|a|d|a|
ד:א|ט:ן|	d:u:t|t:o:n|
מ|א|ק|ו|נ:י|ן|	m|a|k|o|n:n:e|n|
פ|פ|א:י|פ|ר|	p|f:e|i|f:f|e:r|
ר|י|נ|ו|	r|i|n|o|
ר|א|י|מ|י|	r|a|i|m|i|
ס|א|מ|ב|א|	s|a|m|b|a|
ל|י|נ|ג|	l|i|n|g|
מ|א|ל|ו|נ|י|	m|a|l|o|n:e|y|
ר|ו|ג|י|ב|י|ן|	r|o|g:g|e|v:e|e|n|
נ|ו|ז|ו|מ|ו|	n|o|z|o|m|u|
ה|י|ק|	h|i|c:k|
ר|א|ט|	r|a|t|
ס|י|י|ד|א|ת|	s|e|i|d|a|t:h|
ר|ו|ט|ב|ל|א|ט|	r|o|t|b|l|a|t|
מ|ו|ר|י|	m|o|r|i|
מ:י|ס:ט:ר|	m|r:.|
ב|ו|ר|ש|א|ר|ד|ט|	b|o|r|c:h|a|r|d|t|
ו:א|ד|י|ס|ו|א|ב|	w:l:a|d|y|s|l|a|w|
ו|י|י|	w|e|i|
ק|ר|י|ש|נ|א|	k|r|i|s:h|n|a|
ד|ל|א|ו|ו|ר|	d:e|l|a|w|a|r:e|
ק|ו|פ|א|	k|o|p|a|
ר|י|מ|י|	r|e|m|i|
ד|ב|א|ג|	d:e:b|b|a|g:h|
ב|ר|נ|ו|	b|r|n|o|
ט|ל|א|ל|	t:a|l|a|l|
מ|י|ק|ר|ו|מ|ט|ר|	m|i|c|r|o|m:e|t|r:e|
פ|י|ג|ו|י|	p|e|g|u|y|
ג|א|ב:ן|	g|a|v:i:n|
א|ט|ק|י|נ|ס|ו|ן|	a|t|k|i|n|s|o|n|
ש:י|ב|ר|ו|ל|י|י|	c:h:e|v|r|o|l|e|t|
ד|א|י|ה|א|ט|ס|ו|	d|a|i|h|a|t|s|u|
מ|א|י|ו|ר|ק|א|	m|a|j|o|r|c|a|
נ|ו|ר|פ|ו|ל|ק|	n|o|r|f|o|l|k|
ז|א|ה|ו|ר|ס|ק|י|	z|a|h|o|r|s|k|i|
ס|ב|א|ח|	s:a|b|a|h|
ס|ט|א|נ|י|ש|ב|	s|t|a|n|i|s:h|e:v|
ג:':ו|ד|ה|	j:u|d|a:h|
ש|ה|א|ב|	c:h:e|h|a|b|
ג|ר|י|ל|א|	g|r|e|l:l|a|
מ|ו|ס|ל|י|ם|	m|u|s|l|i|m|
י|ה|ו|ד|א|	y:e|h|u|d|a|
ח|פ|י|ט|	h:a|f:e|e|t|
פ|א|נ|ט|א|נ|א|ל|	p|a|n|t|a|n|a|l|
מ|ו|ג:'|י:ט:ש|	m|u|j|i:c|
ה|ו|פ|מ|א|ן|	h|o|f:f|m|a|n:n|
ר|י|נ|ו|נ|י|ס|	r|e|n|o|n|e|s|
ג:'|א|ק|ו|מ|ו|	g|i|a:c|o|m|o|
ט|ו|ז|י:א|	t|a:u|z|i:a:t|
מ|נ|י|ק|י|ל|י|	m:e|n|i|c:h|e|l:l|i|
ס|מ|י|ל|י|א|נ|י:ט:ש|	s|m|i|l|j|a|n|i:c|
ר|י|ב|י|ר|א|	r|i|v|e|r|a|
נ|א:י|ג|'|ל|	n|i|g|e|l|
ב|א|ר|ב:ו|ר|	b|a|r|b:o:u|r|
ק|ו|ל|ו|	k|o|l|o|
נ|א|ג:י|	n|a|g:u:i|
ס|א:י|	s|i|
ג|ת|ה|	g:o:e|t:h|e|
א:ו|ל|י|ס|ס|	u|l|i|s:e|s|
א|ל|י|ט|י|ס|	e|l|y|t|i|s|
ס|י|ט|י|ג|ר|ו|פ|	c|i|t|i|g|r|o:u|p|
א|נ|ו|נ|ס|י|א|ט|א|	a|n:n|u|n|z|i|a|t|a|
ע:א|ס|י|	a|s:s|i|
ו|ד|ל|	w:e:d|d:e|l:l|
מ|א|ל|י|ב:י|ט|ש|	m|a|l|e|v|i:c|h|
נ|ד|א|ו|	n|d|a|o|
ש|ה|ו|	s:h:e|h|u|
ק|ו|ס|א|ו|	k|u|s|a|o|
ב|י|נ|י|ט|י|ז|	b|e|n|i|t|e|z|
ה:י:י|ד|ן|	h:a|d:e|n|
ק|א|מ:ו|	c|a|m:u:s|
ז|י|א|נ|ב|	z|a|i|n:a|b|
ד|א|ג|ר|	d|a|g:h|e:r|
נ|ק|ר|ו|מ:א|	n|k|r|u|m:a:h|
ו|ל|א|ד|ו|	v|l|a|d|o|
ג|ר|ו|ן|	g|r|u|n|
ט|א|מ|י|ל|	t|a|m|i|l|
ח|י|פ|ה|	h:a|i|f|a|
ח|ר|א|ם|	h:a|r:a|a|m|
מ|א|ק|א|ו|	m|a|c|a|u|
א|ג|ר|נ|ט|	a|g|r:a|n:a|t|
ס|ו|ק|ו|ר|	s|u|k|u|r|
ג:':י|א:י|	j:i|a:y:i|
א|י|ר|ו|פ|ל|ו|ט|	a|e|r|o|f|l|o|t|
נ|א|ו|מ|א|ן|	n|a|u|m|a|n:n|
י:ח|י|א|	y:a:h|y|a|
פ|א|נ|ט|ו|ל|י|א|נ|ו|	p|a|n|t|o|l|i|a|n|o|
ב|י|ח|א|ר|	b|i|h|a|r|
ה|י|ס|פ|א|נ|י|ו|ל|א|	h|i|s|p|a|n|i|o|l|a|
ב|א|ר|ב|א|ר|ו|ס|א|	b|a|r|b|a|r|o|s:s|a|
נ|و:נ|י|ה|ו|	n:e|t:a:n|y:a|h|u|
נ|א|ו|ט|א|ק|י|	n|a|o|t|a|k|e|
ג:':ו|ל|י|ו|ן|	j:o|l|e|o|n|
מ|א|ר|י|א|	m|a|r|i|a|
מ|ו|ט|ו|י|א|מ|א|	m|o|t|o|y|a|m|a|
ק|א|ט|ר|מ|ו|ל|	c|a|t:t|e:r|m|o|l:e|
מ|ו|ל|י|ג|א|ן|	m|u|l:l|i|g|a|n|
פ|א|ר|ס|	f|a|r:e|s|
ה|י|ס|פ|י|ר|י|ד|י|ס|	h|e|s|p|e|r|i|d|e|s|
ט|א|י|ש|ו|	t|a|i|s:h|o|
ר|י|י|ק|	r|e|i|k|
מ|ש|ה|ר|א|ו|י|	m:a|s:h|a|r|a|w|i|
ב|נ:י|ס|	b:e|n:n:i|s|
מ|א|ר|צ:ן|	m|a|r|c:i:n|
ס|ע|ד|י|	s:a|a|d|i|
ר|י|ש|ט|ה|ו|פ|ן|	r|i|c:h|t|h|o|f:e|n|
ב|י|ר|ת|ו|ד|	b|e|r|t:h|o|d|
ט|ו|ב|א:י|א|ס|	t|o|b|i|a|s|
ח|י|ס|ו|ס|	j|e|s|u|s|
א|פ|ו|פ|י|ס|	a|p|o|p:h|i|s|
צ:':א|ר|פ|י|נ|י|ט|	c:h|a:r|p|e|n|e|t|
ל|א|ר|ס|	l|a|r|s|
מ|ו|נ|א:י|ט|י|ס|	m|u|n|i|t|i|s|
נ|ו|ר|י|ו|	n|o|r|i|o|
ד|ר|	d|e:r|
ש|ע|ב|א|ן|	s:h:a|a|b|a|n|
א|ד|ם|	a|d|a:m|
מ|ס|י|	m:e|s:s|i|
ו|א|נ|ה|א|נ|י|ן|	v|a|n|h|a|n|e|n|
ט|א|מ|ר|א|	t|a|m|r|a|
פ|ק|ר|ו|ן|	f:a|k|r|o:u|n|
ק|ר|ו|צ:':י|	c|r|o|c:e|
מ|ג:':י|ד|	m:a|j:e|e:d|
ב|ל|ק|א|ס|	b:e|l|q|a|s|
א|מ|י|ל|י|	e|m|i|l|y|
ר|פ:ח|	r:a|f:a:h|
מ|י|ל|ו|ד|	m|i|l|o:u|d|
ו|י|ק|א|ש|	v|i|k|a|s:h|
ל|א|ס|ז|ל|ו|	l|a|s|z|l|o|
ש:י|ב|א|	s:h:i|v|a|
ה|א|ן|	h|a|n|
ט|א|נ|נ|ב|א|ו|ם|	t|a|n:n:e|n|b|a|u|m|
נ|ג|א|ט|ג:'|ז|י|ק|ו|	n|g|a|t|j|i:z|e|k|o|
ק|ו|ר|ל|	c|u|r|l|
ר|ו|ק|ו|ו:ל|	r|o|c:k|w|e:l:l|
ר|ו|ב|ר|ט|ס|	r|o|b|e:r|t|s|
ק|ו|ל|ו|מ|ב|י|י|ה|	c|o|l|o|m|b|i|e|r|
מ|ו|ד|י|ב|ו|	m|o|d|i|b|o|
ה|ל|י|ל|	h:a|l|i|l|
ל|י|ר|ו|נ|ד|	l|e|r|o|n|d|
ר|ו|מ|א|ן|	r|o|m|a|n|
ד|ו|ר|ס|ן|	d|o|r|s|i:n|
ק|א:ב:א|ל|י|י|ר|י|	c:a|v:a|l|i|e|r|i|
פ|י|נ|ו|ש|ה|	p|i|n|o|c:h|e:t|
ק|א|י|ט|א|נ|ו|	c|a|y:e|t|a|n|o|
ב|י:ר:נ|ז|	b:u|r:n|s|
מ|ר|ו|ם|	m:a|r|o|m|
ח|ל|ד|ו|ן|	k:h:a|l|d|u|n|
פ|ר|א|נ|ס|ס|	f|r|a|n|c:e|s|
ס|י|ד|י|	s|i|d|i|
ק|ו|ר|ל|י|ו|נ|י|	c|o|r|l|e|o|n|e|
א|ן|	a|n|
ק|י|נ|י|א|ט|א|	k|e|n|y|a|t:t|a|
ו|י|ה:ו|ר|ס|ט|	w|i:e|g:h:o|r|s|t|
א|ז|ד|	a|z|d|
ל:ח|ד|	l:a:h|a:d|
ט|ר|א|נ|ק|ו|י|ל|ו|	t|r|a|n|q|u|i|l:l|o|
ק|ו|נ|ס|ט|א|נ|ט|	c|o|n|s|t|a|n|t|
ס|י|ב|י|ר|ו|ס|	s|e|v|e|r|u|s|
ד|ו|ל|מ|א|נ|ז|	d|o|l|m|a|n|s|
ק|ו|י|ל|מ|א|נ|ס|	c|e|u|l:e|m|a|n|s|
פ|ו|ס|ט|י|נ|ו|	f:a|u|s|t|i|n|o|
ס|ט|י|פ|נ|ס|	s|t|e|p:h:e|n|s|
ב|י|ר|	b|e|e:r|
מ|א|ט|י|א|ס|	m|a|t|i|a|s|
נ|י|ב|ז|ל|י|ן|	n|e|v|z|l|i|n|
מ|א|ר|ק|י|ט|ו|	m|a|r|c:h|e|t:t|o|
ג:':א|ס|ם|	j:a|s:s:e|m|
ע|י|ס|א|ט|י|	a|i|s:s|a|t|i|
ב|י|ר|ו|ת|	b:e|i|r|u|t|
מ|י|ל|א|ן|	m|i|l|a|n|
א|ל|ק:ס|נ|ד|ר|	a|l:e|x|a:n|d|r:e|
ב|י|נ|י|ד|י|ק|ט|י|ן|	b|e|n|e|d|i|c|t|i|n:e|
ב|א|ר|י|נ|ב|ו|י|ם|	b|a|r|e|n|b|o|i|m|
ו|א|נ|ג|י|ל|י|ס|	v|a|n|g|e|l|i|s|
פ|א|ר:י|ש|	p|a|r:r:i|s:h|
מ|א|ה|י|א|ד|י|	m|a|h|y|a|d|i|
ק|ל|א|נ|ס|י|	c|l|a|n|c|y|
ב|י|ל|י|ן|	b:e|i|l|i|n|
ס|פ|ו|ט|נ|י|ק|	s|p|u|t|n|i|k|
ל|י|ר|	l|e|a:r|
ס|י|ג|ו|ל|י|ן|	s|e|g|o|l|e|n:e|
ס|א|ק:ס|ו|נ|י|	s|a|x|o|n|y|
