এ	a
গৌরিয়ামাউ	gauriyamau
গৌষালা	gaushala
গৌতম	gautam
গৌতম	gautama
গৌতমপুরা	gautampura
গৌভিন	gauvin
গাভাস্কার	gavaskar
গাভিন	gavin
গোয়ারিকার	gawarikar
গয়া	gaya
গাইডা	gayda
গাযেত্রীদেবী	gayetridebi
গ্যালে	gayle
গ্যাজ	gaz
গাজি	gazi
গিয়ারিং	gearing
গিয়ারস	gears
গেদে	gede
গেডিমিনাস	gediminas
গীতা	geeta
জেমিনি	gemini
জেমপ্লাস	gemplus
জেনকো	genco
জেনারেল	general
জেনারেলস	generals
জেন্টিয়াম	gentium
জেফফ্রি	geoffrey
জিওমেট্রিক	geometric
জিওমেট্রি	geometry
জিওর্জ	george
গর্গিয়া	georgia
জর্জিয়ান	georgian
গেরিওন্ড	geraint
গ্যারিস	gerais
গেরাল্ড	gerald
জিরালদিনে	geraldine
গেরহারডুস	gerhardus
গিরিটা	gerita
জার্মান	german
জার্মেনিয়াম	germanium
জার্মানি	germany
গ্রেমন	germon
জেরোনিমো	geronimo
জেসকো	gesco
গেট্যে	getey
গেট্যে	getty
গেভরা	gevra
ঘারে	ghaare
ঘাগ	ghag
ঘাগঘাট	ghagghar
ঘাঘরা	ghagra
ঘাগওয়াল	ghagwal
ঘাহিব	ghaib
ঘানা	ghana
ঘানাউলি	ghanauli
ঘনেশ্য়াম	ghaneshyam
ঘন্টেশ্বর	ghantaswar
গণবতকার	ghanvatkar
ঘারাউন্দা	gharaunda
ঘোড়পাড়ে	gharpure
ঘাসো	ghaso
ঘাট	ghat
ঘাটামপুর	ghatampur
ঘাটপ্রাব্রা	ghatprabha
ঘাটশীলা	ghatsila
ঘাউরি	ghauri
ঘাউস	ghaus
গাভরি	ghavri
গজলি	ghazali
গাজিয়াবাদ	ghaziabad
গাজীয়াবাদ	ghaziabad
ঘেঁটু	ghentu
গোদগাঁওকার	ghodgaonkar
গোলাম	gholam
ঘোলভাদ	gholvad
ঘোরাদোনগ্রী	ghoradongri
ঘোরপুরি	ghorpuri
ঘোষ	ghosh
ঘৃষ্ণেশ্বর	ghrishneshwar
ঘুঘুলি	ghughuli
ঘুগুস	ghugus
ঘুলাম	ghulam
ঘুলে	ghule
ঘুমা	ghuma
ঘুটাই	ghutai
জিব্রাল্টার	gibraltar
গিবসন	gibson
গিদারপিনদি	gidarpindi
গিদ্দারবাহা	giddarbaha
গিধাউর	gidhaur
গিহলান	gihlan
গিলানি	gilani
জিলট	gilat
গিলবার্ড	gilbert
গিলচরিস্ট	gilchrist
গিলকিকার	gilkicker
জিলেট	gillette
গিলমোর	gilmour
গিনি	gini
গ্রীন্সবার্গ	ginsberg
গির	gir
গিরাজ	giraj
গিরীবালা	giribala
গিরীধারী	giridhari
গীরিডি	giridih
গিরিজা	girija
গিরিজাত্মাজ	girijatmaj
গার্ল	girl
গিরওয়ার	girwar
গিতাদেবী	gitadebi
গীতাদেবী	gitadevi
গীতাকুমারী	gitakumari
গীতাঞ্জলী	gitangali
গিউসেপ্পে	giuseppe
গ্লেসিয়ার	glacier
গ্লাডস্টোন	gladstone
গ্লাসগো	glasgow
গ্লাস	glass
গ্ল্যাক্সোস্মিথ	glaxosmith
গ্ল্যাক্সোস্মিথক্লাইন	glaxosmithkline
গ্লেন	glen
গ্লেনডিনিং	glendinning
গ্লেনমার্ক	glenmark
গ্লীন	glenn
গ্লেন	glenn
গ্লেনভেঘ	glenveagh
গ্লেনিয়ন	glenyon
গ্লোবাল	global
গ্লোব	globe
গ্লোরিয়া	gloria
গ্লোরিয়াস	glorious
গ্লোরি	glory
গ্লোভ	glove
গ্লাইন	glynn
গোয়া	goa
গোলপারা	goalpara
গোবেন	gobain
গোবর্দ্ধন	gobardhan
গোবর্ধন	gobardhan
গোবি	gobi
গোবিন্দলাল	gobindalal
গোবিন্দপদ	gobindapada
গোদাবরী	godavari
গোডবোলে	godbole
গোদ্দা	godda
গোড়ে	gode
গোডেল	godel
গডফ্রে	godfrey
গোধা	godha
গোধরা	godhra
গোদিভা	godiva
গোদরেজ	godrej
গডসে	godse
গোয়েতজ	goetze
গোফুর	gofur
গোগামুখ	gogamukh
গঘ	gogh
গোগনা	gogna
গোগোরোন	gogorron
গোগটে	gogte
গোহানা	gohana
গোকর্ণ	gokarna
গোকারনা	gokarna
গোকসেন	gokcen
গোখলে	gokhle
গোকটে	gokte
গোকুল	gokul
গোকুলবালা	gokulbala
গোলা	gola
গোলঘাট	golaghat
গোলাম	golam
গোলামআলী	golamali
গোলমহোসেন	golamhosen
গোলান্থরা	golanthra
গোলাপ	golap
গোলাপী	golapi
গোলাপনবি	golapnabi
গোলবানু	golbanu
গোল্ড	gold
গোল্ড	golda
গোল্ডি	goldie
গোল্ডম্যান	goldman
গোল্ডস্মিথ	goldsmith
গোলি	gole
গোলিয়াথ	goliath
গোলজামাটা	goljamata
গোলজারআলি	goljarali
গোলক	golok
গোলোক	golok
গোলকবিহারী	golokbihari
গোলকপতি	golokpati
গোলসার	golsar
গোমোতি	gomati
গোম্বে	gombe
গোমেস	gomes
গোমস্তা	gomsta
গোমুখিনাদহি	gomukhinadhi
গোন্ডা	gonda
গোন্ডাল	gondal
গোন্ডিয়া	gondia
গুচ	gooch
গুড	good
গুদহু	goodhue
গুডরেম	goodrum
গুডউইন	goodwin
গুনাসেকেরা	goonasekera
গুনাটিলেক	goonatilleke
গোটী	gooty
গোপ	gop
গোপাল	gopal
গোলাপচাঁদ	gopalchand
গোপালগঞ্জ	gopalganj
গোপালী	gopali
গোপালকৃষ্ণ	gopalkrishna
গোপেন	gopen
গপেশ্বর	gopeswar
গোপেশ্বরী	gopeswari
গোপী	gopi
গোপীবালা	gopibala
গোপীবল্লভ	gopibllab
গোপীচাঁদ	gopichand
গোপীজীবন	gopijiban
গোপীনাথ	gopinath
গোরা	gora
গোরক্ষপুর	gorakhpur
গোরানা	gorana
গোরাউল	goraul
গোরায়া	goraya
গরবাচেভ	gorbachev
গোর্ডিমার	gordimer
গোর্ডোন	gordon
গোর্যে	gore
জর্জ	gorge
গরগেস	gorges
গোরিলা	gorilla
গোরিয়ান	goriyan
গোরখনাথ	gorokhnath
গোসাই	gosai
গোসাভি	gosavi
গোষ্ণাইগঁঞ্জ	goshainganj
গোস্পার	gosper
গোসাইগাঁঙ	gossaigaon
গোতিগাঁও	gotegaon
গোতাজ	gothaj
গোথেনবার্গ	gothenburg
গতি	goti
গুহ	gough
গৌনারোপোলোস	gounaropoulos
গৌর	gour
গৌরাঙ্গ	gouranga
গৌরচন্দ্র	gourchandra
গোউরদে	gourde
গৌড়হরি	gourhari
গৌরিবালা	gouribala
গৌরীদেবী	gouridevi
গৌরি	gourie
গৌরীনাথ	gourinath
গৌরিরাণী	gourirani
গৌরীশঙ্কর	gourishankar
গৌরকিশোর	gourkishor
গৌরকৃষ্ণ	gourkrisna
গৌরমোহন	gourmohan
গৌরপদ	gourpada
গৌরশঙ্কর	gourshankar
গৌরসুন্দর	goursundar
গৌতম	goutam
গৌতমকুমার	goutamkumar
গোভরদ্ধন	goverdhan
গভর্নর	governor
গোভিলকার	govilkar
গোবিন্দরাজ	govindaraja
গোভিন্দগড়	govindgarh
গোভিন্দনগর	govindnagar
গোভিন্দপুরি	govindpuri
গোয়ের	gower
গোবিন্দওয়াল	gowindwal
গ্রাহম	graham
গ্রামি	grammy
গ্রান্ড	grand
গ্রান্ডে	grande
গ্রান্ডমা	grandma
গ্রান্ডমাস্টারস	grandmasters
গ্রানজে	grange
গ্র্যানাইট	granite
গ্রান্ট	grant
গ্রেনভিল	granville
গ্যাফিক	graphic
গ্রাফিক্স	graphics
গ্রাসিম	grasim
গ্রাটওট	gratiot
গ্রাওয়েমার	grawemeyer
গ্রেড	great
গ্রেটার	greater
গ্রেটেস্ট	greatest
গ্রিভস	greaves
গ্রিস	greece
গ্রীক	greek
গ্রীন	green
গ্রিনাওয়ে	greenaway
গ্রিনিযে	greenidge
গ্রীণল্যান্ড	greenland
গ্রিট	greet
গ্রেগোরি	gregory
গ্রেনটেক	grentech
গ্রেভিল	greville
গ্রেই	grey
গ্রিড	grid
গ্রিডকো	gridco
গ্রিফিন	griffin
গ্রিফিথস	griffiths
গ্রিমেস	grimes
গ্রিম	grimme
গ্রাইন্ডওয়েল	grindwell
গ্রিপার	gripper
গ্রিসোম	grissom
গ্রোন	groen
গ্রস	gros
গ্রৌচ	groucho
গ্রুপ	group
গ্রৌপামা	groupama
গ্রুভ	grove
গ্রোভার	grover
গুয়া	gua
গুয়াদালুপ	guadalupe
গার্ডিয়ান	guardian
গুধা	gudha
গুদিভাদা	gudivada
গুদিয়াত্তাম	gudiyattam
গুয়েরেরো	guerrero
গুগলানী	guglani
গুগরাল	gugral
গুইলডার	guilder
গুইলধাহল	guildhall
গুলফোর্ড	guilford
গুইমারায়েস	guimaraes
গিনি	guinea
গুইরাম	guiram
গুজরাট	gujarat
গুজহানদি	gujhandi
গুল	gul
গুলাব	gulab
গুলাবচাঁদ	gulabchand
গুলাভগঞ্জ	gulabhganj
গুলাবজান	gulabjan
গোলাপজানবিবি	gulabjanbibi
গুলাবপুরা	gulabpura
গুলাওথি	gulaothi
গুলারভোজ	gularbhoj
গুলবার্গা	gulbarga
গুলধার	guldhar
গালফ	gulf
গুলজার	guljar
গুলজারআলি	guljarali
গুলসান	gulsan
গুলজারবাগ	gulzarbagh
গুমিয়া	gumia
গুম্মান	gumman
গুম্মিদিপুনদি	gummidipundi
গুমতালা	gumtala
গুনা	guna
গুণধর	gunadhar
গুনারত্নে	gunaratne
গুনওয়ার্ডেন	gunawardene
গুন্দাপ্পা	gundappa
গুন্দেরিপ্পালাম	gunderippalam
গুনেরু	guneru
গান্টার	guntur
গুনু	gunu
গুনুঙ্গ	gunung
গুওকিন	guoqin
গুপী	gupi
গুপীনাথ	gupinath
গুপ্তা	gupta
গুপ্তে	gupte
গুরাইয়া	guraia
গুরারু	guraru
গুরবিন্দর	gurbindar
গুরদাসপুর	gurdaspur
গার্জিয়েফ	gurdjieff
গুরহি	gurhi
গুরিয়া	guriya
গুরমিত	gurmit
গুরমুরা	gurmura
গুর্নি	gurnee
গুর	gurr
গুরাই	gurrai
গুরুসাগর	gursagar
গুরসাহাইগঞ্জ	gursahaiganj
গুরসার	gursar
গুরশরন	gursharan
গুরু	guru
গুরুচরণ	gurucharan
গুরুদাস	gurudas
গুরুদাসী	gurudasi
গুরুদাসপুর	gurudaspur
গুরুদীপ	gurudip
গুরুদ্বার	gurudwara
গুরপদ	gurupada
গুরুপ্রসাদ	guruprasad
গুরুসিনহা	gurusinha
গুস	gus
গোয়াহাটি	guwahati
গাই	guy
গাওয়াই	gwaii
গোয়ালিয়র	gwalior
গোয়ালপাড়া	gwalpada
গুইনেত্তাস	gwinetts
গয়ালসিং	gyalshing
জিমনাস্টিক্স	gymnastics
গাইনোলজি	gynaecology
গিটের্নে	gyterne
জেনারেল	générale
হা	ha
হাফিজ	haafiz
হানাস	haanas
হাবি	habi
হাবীব	habib
হাবিবাবেগম	habibabegam
হাবিবাবিবি	habibabibi
হাবিবুল	habibul
হবির	habir
হাবলু	hablu
হাবু	habu
হাবুল	habul
হুবলাল	habulal
হাদ্দিন	haddin
হ্যাডক	haddock
হাডলি	hadlee
হেডলি	hadlee
হয়েসদঙ্ক	haesdonck
হাফেজ	hafez
হাফিজা	hafija
হাফিজুল	hafijul
হাফীজ	hafiz
হাফিজুর	hafizur
হেগ	hague
হাই	hai
হাইদা	haida
হাযদরআলি	haidarali
হৈমন্তী	haimanti
হাইনিচ	hainich
হাইতি	haiti
হাইতিয়ান	haitian
হাজগিরি	hajgiri
হাজি	hajji
হজরত	hajrat
হাকিম	hakim
হলধর	haladhar
হলদিয়া	haldia
হালেমা	halema
হলে	haley
হফ	half
হালিফক্স	halifax
হালিমা	halima
হালিমাবেগম	halimabegam
হালিমাবিবি	halimabibi
হালিমুন	halimun
হালাম	hallam
হালিবার্টোন	halliburton
হালওয়ারা	halwara
হালওয়াভি	halwarvi
হামবাদা	hambada
হামব্লেন	hamblen
হামবুর্গ	hamburg
